station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
BRI;01.03.1976 00:00;4.3;9;2
BRI;01.04.1976 00:00;42.4;79;4
BRI;01.05.1976 00:00;12.6;17;2
BRI;01.06.1976 00:00;32.6;56;4
BRI;01.07.1976 00:00;30.6;60;9
BRI;01.08.1976 00:00;38.4;67;5
BRI;01.09.1976 00:00;36.5;85;6
BRI;01.10.1976 00:00;179.6;288;10
BRI;01.11.1976 00:00;76.1;96;8
BRI;01.12.1976 00:00;96.8;132;8
BRI;01.01.1977 00:00;42.1;62;8
BRI;01.02.1977 00:00;98;205;11
BRI;01.03.1977 00:00;72;146;10
BRI;01.04.1977 00:00;158.6;294;10
BRI;01.05.1977 00:00;120.1;166;9
BRI;01.06.1977 00:00;43.2;74;7
BRI;01.07.1977 00:00;39.6;77;6
BRI;01.08.1977 00:00;83.4;147;9
BRI;01.09.1977 00:00;4.9;11;1
BRI;01.10.1977 00:00;112.3;180;8
BRI;01.11.1977 00:00;77.9;98;6
BRI;01.12.1977 00:00;63.1;86;6
BRI;01.01.1978 00:00;107.7;160;12
BRI;01.02.1978 00:00;109.7;230;8
BRI;01.03.1978 00:00;121.9;247;13
BRI;01.04.1978 00:00;6.6;12;3
BRI;01.05.1978 00:00;64.1;88;9
BRI;01.06.1978 00:00;90.2;154;11
BRI;01.07.1978 00:00;44.6;87;7
BRI;01.08.1978 00:00;85.2;150;6
BRI;01.09.1978 00:00;4;9;2
BRI;01.10.1978 00:00;52.2;84;5
BRI;01.11.1978 00:00;5;6;1
BRI;01.12.1978 00:00;84.7;116;11
BRI;01.01.1979 00:00;41.2;61;8
BRI;01.02.1979 00:00;61.9;130;9
BRI;01.03.1979 00:00;135.5;275;12
BRI;01.04.1979 00:00;13.1;24;4
BRI;01.05.1979 00:00;24.3;34;5
BRI;01.06.1979 00:00;26.5;45;8
BRI;01.07.1979 00:00;6.1;12;2
BRI;01.08.1979 00:00;96.9;170;8
BRI;01.09.1979 00:00;35.8;84;5
BRI;01.10.1979 00:00;109.1;175;9
BRI;01.11.1979 00:00;123.8;156;7
BRI;01.12.1979 00:00;236.7;324;11
BRI;01.01.1980 00:00;60.3;89;8
BRI;01.02.1980 00:00;118.3;248;6
BRI;01.03.1980 00:00;125.1;254;8
BRI;01.04.1980 00:00;5.7;11;3
BRI;01.05.1980 00:00;29.8;41;10
BRI;01.06.1980 00:00;73.1;125;9
BRI;01.07.1980 00:00;67.3;131;10
BRI;01.08.1980 00:00;34.4;60;4
BRI;01.09.1980 00:00;12.2;29;4
BRI;01.10.1980 00:00;108;173;6
BRI;01.11.1980 00:00;15.4;19;5
BRI;01.12.1980 00:00;36.3;50;10
BRI;01.01.1981 00:00;146.7;218;11
BRI;01.02.1981 00:00;20.9;44;5
BRI;01.03.1981 00:00;194.1;394;10
BRI;01.04.1981 00:00;46.7;87;3
BRI;01.05.1981 00:00;101.1;139;11
BRI;01.06.1981 00:00;42.8;73;6
BRI;01.07.1981 00:00;66.7;130;8
BRI;01.08.1981 00:00;11.3;20;3
BRI;01.09.1981 00:00;92.4;216;13
BRI;01.10.1981 00:00;146;234;12
BRI;01.11.1981 00:00;49.2;62;4
BRI;01.12.1981 00:00;185.1;253;12
BRI;01.01.1982 00:00;136.3;202;9
BRI;01.02.1982 00:00;3.4;7;1
BRI;01.03.1982 00:00;63.2;128;10
BRI;01.04.1982 00:00;8.6;16;2
BRI;01.05.1982 00:00;14.2;20;4
BRI;01.06.1982 00:00;32.4;55;7
BRI;01.07.1982 00:00;81.9;159;9
BRI;01.08.1982 00:00;79.4;140;12
BRI;01.09.1982 00:00;60.2;141;5
BRI;01.10.1982 00:00;95.7;154;11
BRI;01.11.1982 00:00;50;63;9
BRI;01.12.1982 00:00;78.9;108;11
BRI;01.01.1983 00:00;102.1;151;10
BRI;01.02.1983 00:00;46.2;97;8
BRI;01.03.1983 00:00;28.3;57;5
BRI;01.04.1983 00:00;80;148;11
BRI;01.05.1983 00:00;129.6;179;12
BRI;01.06.1983 00:00;17.3;29;5
BRI;01.07.1983 00:00;2.8;5;1
BRI;01.08.1983 00:00;38.1;67;10
BRI;01.09.1983 00:00;43.8;102;5
BRI;01.10.1983 00:00;24.4;39;5
BRI;01.11.1983 00:00;115.6;146;4
BRI;01.12.1983 00:00;67.6;92;8
BRI;01.01.1984 00:00;65.8;98;12
BRI;01.02.1984 00:00;140.1;294;10
BRI;01.03.1984 00:00;15.1;31;5
BRI;01.04.1984 00:00;8.4;16;4
BRI;01.05.1984 00:00;80.9;112;8
BRI;01.06.1984 00:00;58.5;100;5
BRI;01.07.1984 00:00;17.3;34;3
BRI;01.08.1984 00:00;55.4;97;11
BRI;01.09.1984 00:00;106.4;249;11
BRI;01.10.1984 00:00;61.9;99;7
BRI;01.11.1984 00:00;45.5;57;6
BRI;01.12.1984 00:00;37.1;51;6
BRI;01.01.1985 00:00;64.3;95;9
BRI;01.02.1985 00:00;89.9;188;7
BRI;01.03.1985 00:00;41.7;85;5
BRI;01.04.1985 00:00;14.4;27;5
BRI;01.05.1985 00:00;193.9;267;11
BRI;01.06.1985 00:00;98.1;167;10
BRI;01.07.1985 00:00;12.4;24;5
BRI;01.08.1985 00:00;40.1;70;6
BRI;01.09.1985 00:00;18.1;42;2
BRI;01.10.1985 00:00;5.1;8;1
BRI;01.11.1985 00:00;69.2;87;10
BRI;01.12.1985 00:00;19.3;26;5
BRI;01.01.1986 00:00;231;343;17
BRI;01.02.1986 00:00;40.3;84;5
BRI;01.03.1986 00:00;66.3;134;8
BRI;01.04.1986 00:00;208.3;386;16
BRI;01.05.1986 00:00;28.7;40;7
BRI;01.06.1986 00:00;22.9;39;5
BRI;01.07.1986 00:00;32.4;63;3
BRI;01.08.1986 00:00;45;79;9
BRI;01.09.1986 00:00;13.9;32;3
BRI;01.10.1986 00:00;38.5;62;5
BRI;01.11.1986 00:00;31.2;39;7
BRI;01.12.1986 00:00;88.9;122;9
BRI;01.01.1987 00:00;88.2;131;8
BRI;01.02.1987 00:00;107.2;225;8
BRI;01.03.1987 00:00;33;67;4
BRI;01.04.1987 00:00;57;106;5
BRI;01.05.1987 00:00;29.8;41;9
BRI;01.06.1987 00:00;71.3;121;10
BRI;01.07.1987 00:00;42;82;10
BRI;01.08.1987 00:00;103.3;182;6
BRI;01.09.1987 00:00;14.3;33;3
BRI;01.10.1987 00:00;137.5;221;8
BRI;01.11.1987 00:00;109.7;138;10
BRI;01.12.1987 00:00;42.7;58;5
BRI;01.01.1988 00:00;39.9;59;8
BRI;01.02.1988 00:00;45.5;95;9
BRI;01.03.1988 00:00;214.5;435;18
BRI;01.04.1988 00:00;11;20;2
BRI;01.05.1988 00:00;31.5;43;8
BRI;01.06.1988 00:00;57.5;98;10
BRI;01.07.1988 00:00;40.5;79;9
BRI;01.08.1988 00:00;29.3;51;5
BRI;01.09.1988 00:00;12.6;29;2
BRI;01.10.1988 00:00;169.3;272;12
BRI;01.11.1988 00:00;33;42;6
BRI;01.12.1988 00:00;141.6;194;5
BRI;01.01.1989 00:00;2.8;4;1
BRI;01.02.1989 00:00;36.6;77;8
BRI;01.03.1989 00:00;32.3;66;6
BRI;01.04.1989 00:00;235.6;437;11
BRI;01.05.1989 00:00;23;32;5
BRI;01.06.1989 00:00;3.6;6;2
BRI;01.07.1989 00:00;27.5;54;8
BRI;01.08.1989 00:00;34.6;61;9
BRI;01.09.1989 00:00;16.9;39;5
BRI;01.10.1989 00:00;34.5;55;5
BRI;01.11.1989 00:00;3.6;5;2
BRI;01.12.1989 00:00;58;79;9
BRI;01.01.1990 00:00;22.5;33;4
BRI;01.02.1990 00:00;267.9;562;11
BRI;01.03.1990 00:00;12.4;25;5
BRI;01.04.1990 00:00;22.3;41;6
BRI;01.05.1990 00:00;40.1;55;8
BRI;01.06.1990 00:00;60.1;102;13
BRI;01.07.1990 00:00;17;33;5
BRI;01.08.1990 00:00;21.5;38;5
BRI;01.09.1990 00:00;42.1;98;5
BRI;01.10.1990 00:00;143.5;230;11
BRI;01.11.1990 00:00;78.5;99;10
BRI;01.12.1990 00:00;98.3;134;9
BRI;01.01.1991 00:00;72.6;108;7
BRI;01.02.1991 00:00;23.3;49;6
BRI;01.03.1991 00:00;100.2;203;7
BRI;01.04.1991 00:00;38.6;72;4
BRI;01.05.1991 00:00;26.7;37;6
BRI;01.06.1991 00:00;88.1;150;9
BRI;01.07.1991 00:00;34.1;66;7
BRI;01.08.1991 00:00;36.6;64;4
BRI;01.09.1991 00:00;39.2;92;5
BRI;01.10.1991 00:00;61;98;7
BRI;01.11.1991 00:00;9.6;12;2
BRI;01.12.1991 00:00;158.7;217;5
BRI;01.01.1992 00:00;13.1;19;3
BRI;01.02.1992 00:00;73.5;154;7
BRI;01.03.1992 00:00;104.7;212;7
BRI;01.04.1992 00:00;14.3;27;2
BRI;01.05.1992 00:00;7.2;10;4
BRI;01.06.1992 00:00;157.3;268;11
BRI;01.07.1992 00:00;39.8;77;6
BRI;01.08.1992 00:00;36;63;6
BRI;01.09.1992 00:00;59.6;139;5
BRI;01.10.1992 00:00;144;231;13
BRI;01.11.1992 00:00;140.2;177;15
BRI;01.12.1992 00:00;45.1;62;6
BRI;01.01.1993 00:00;40.6;60;5
BRI;01.02.1993 00:00;28.1;59;3
BRI;01.03.1993 00:00;8.6;17;3
BRI;01.04.1993 00:00;132.8;246;9
BRI;01.05.1993 00:00;40.8;56;7
BRI;01.06.1993 00:00;40.5;69;5
BRI;01.07.1993 00:00;63.3;123;7
BRI;01.08.1993 00:00;29.7;52;6
BRI;01.09.1993 00:00;153.7;359;13
BRI;01.10.1993 00:00;100.2;161;10
BRI;01.11.1993 00:00;21;26;4
BRI;01.12.1993 00:00;128.1;175;17
BRI;01.01.1994 00:00;117.7;175;13
BRI;01.02.1994 00:00;26.5;56;4
BRI;01.03.1994 00:00;12.7;26;3
BRI;01.04.1994 00:00;66;122;7
BRI;01.05.1994 00:00;124.6;172;15
BRI;01.06.1994 00:00;55.5;95;7
BRI;01.07.1994 00:00;73;142;6
BRI;01.08.1994 00:00;74.6;131;9
BRI;01.09.1994 00:00;104.1;243;13
BRI;01.10.1994 00:00;40;64;7
BRI;01.11.1994 00:00;129.3;163;3
BRI;01.12.1994 00:00;58.7;80;8
BRI;01.01.1995 00:00;217.1;322;17
BRI;01.02.1995 00:00;119.7;251;14
BRI;01.03.1995 00:00;67.5;137;8
BRI;01.04.1995 00:00;122.8;228;11
BRI;01.05.1995 00:00;107.4;148;6
BRI;01.06.1995 00:00;52.1;89;4
BRI;01.07.1995 00:00;32.6;63;6
BRI;01.08.1995 00:00;64.2;113;12
BRI;01.09.1995 00:00;84.3;197;7
BRI;01.10.1995 00:00;1.8;3;1
BRI;01.11.1995 00:00;25.2;32;6
BRI;01.12.1995 00:00;49.1;67;11
BRI;01.01.1996 00:00;4.5;7;1
BRI;01.02.1996 00:00;41.4;87;6
BRI;01.03.1996 00:00;37.2;75;4
BRI;01.04.1996 00:00;4.4;8;2
BRI;01.05.1996 00:00;137.7;190;15
BRI;01.06.1996 00:00;8.1;14;3
BRI;01.07.1996 00:00;56.6;110;8
BRI;01.08.1996 00:00;57.9;102;10
BRI;01.09.1996 00:00;4.5;11;2
BRI;01.10.1996 00:00;104;167;11
BRI;01.11.1996 00:00;126.5;159;15
BRI;01.12.1996 00:00;25.9;35;5
BRI;01.01.1997 00:00;20.2;30;3
BRI;01.02.1997 00:00;56.8;119;7
BRI;01.03.1997 00:00;12.1;25;3
BRI;01.04.1997 00:00;19.7;37;7
BRI;01.05.1997 00:00;44.2;61;9
BRI;01.06.1997 00:00;95.7;163;12
BRI;01.07.1997 00:00;45.6;89;10
BRI;01.08.1997 00:00;40.5;71;7
BRI;01.09.1997 00:00;28.5;67;3
BRI;01.10.1997 00:00;49.1;79;5
BRI;01.11.1997 00:00;44.1;56;6
BRI;01.12.1997 00:00;55.8;76;9
BRI;01.01.1998 00:00;67;99;10
BRI;01.02.1998 00:00;18.9;40;1
BRI;01.03.1998 00:00;16.3;33;4
BRI;01.04.1998 00:00;68.9;128;10
BRI;01.05.1998 00:00;24.1;33;4
BRI;01.06.1998 00:00;48.6;83;8
BRI;01.07.1998 00:00;30.4;59;7
BRI;01.08.1998 00:00;10.9;19;5
BRI;01.09.1998 00:00;51.7;121;7
BRI;01.10.1998 00:00;113.8;183;15
BRI;01.11.1998 00:00;41.3;52;8
BRI;01.12.1998 00:00;13.7;19;3
BRI;01.01.1999 00:00;87.7;130;8
BRI;01.02.1999 00:00;151.3;317;11
BRI;01.03.1999 00:00;86.7;176;5
BRI;01.04.1999 00:00;56.5;105;8
BRI;01.05.1999 00:00;88.6;122;12
BRI;01.06.1999 00:00;69.9;119;8
BRI;01.07.1999 00:00;37.2;72;5
BRI;01.08.1999 00:00;75.4;133;10
BRI;01.09.1999 00:00;72.7;170;8
