"year_month","waterlevel_m","trend","seasonal","deterministic","stochastic"
"Jun 1988",1447.5697,1444.67901705536,3.079029980291,1447.75804703565,-0.188347035653351
"Jul 1988",1448.16493548387,1444.68309546772,3.5372345520136,1448.22033001973,-0.0553945358637975
"Aug 1988",1448.20103225806,1444.68717388008,3.54091913475158,1448.22809301483,-0.027060756767014
"Sep 1988",1447.622,1444.68808801796,2.96383738058705,1447.65192539855,-0.0299253985458563
"Okt 1988",1447.03532258065,1444.68900215584,2.27040939248441,1446.95941154832,0.0759110323228924
"Nov 1988",1444.82633333333,1444.68991629372,-0.270425769462071,1444.41949052425,0.406842809078626
"Dez 1988",1440.28696774194,1444.6908304316,-3.63243582451916,1441.05839460708,-0.771426865141166
"Jan 1989",1440.24593548387,1444.69174456947,-4.30633255131827,1440.38541201816,-0.139476534285677
"Feb 1989",1440.22725,1444.69265870735,-4.38021066645275,1440.3124480409,-0.0851980409011048
"Mär 1989",1440.47396774194,1444.69357284523,-4.09534349792889,1440.5982293473,-0.124261605368474
"Apr 1989",1446.39323333333,1444.69448698311,-1.003654968485,1443.69083201463,2.70240131870651
"Mai 1989",1447.02619354839,1444.69540112099,2.30424876061372,1446.9996498816,0.0265436667825725
"Jun 1989",1447.6437,1444.69631525887,3.07876869598299,1447.77508395485,-0.131383954852708
"Jul 1989",1448.22658064516,1444.69722939675,3.5339464748694,1448.23117587162,-0.00459522645701327
"Aug 1989",1448.10535483871,1444.69814353463,3.53754137795469,1448.23568491258,-0.130330073872983
"Sep 1989",1447.51693333333,1444.69905767251,2.95890485422348,1447.65796252673,-0.141029193396889
"Okt 1989",1446.81509677419,1444.69551650935,2.2664675990048,1446.96198410836,-0.146887334165513
"Nov 1989",1446.45716666667,1444.6919753462,-0.266660302391362,1444.42531504381,2.03185162285581
"Dez 1989",1440.66912903226,1444.68843418305,-3.62653189547496,1441.06190228757,-0.39277325531657
"Jan 1990",1440.21919354839,1444.6848930199,-4.308576679228,1440.37631634067,-0.157122792282053
"Feb 1990",1440.21735714286,1444.68135185674,-4.38738600501013,1440.29396585173,-0.0766087088777567
"Mär 1990",1441.0605483871,1444.67781069359,-4.09217206859704,1440.585638625,0.474909762101333
"Apr 1990",1446.3166,1444.67426953044,-0.985660481710496,1443.68860904873,2.6279909512707
"Mai 1990",1447.1864516129,1444.67072836729,2.30265677560556,1446.97338514289,0.21306647001029
"Jun 1990",1447.5922,1444.66718720414,3.07746941855571,1447.74465662269,-0.152456622690806
"Jul 1990",1448.24667741935,1444.66364604098,3.52838612578745,1448.19203216677,0.0546452525848053
"Aug 1990",1448.27732258065,1444.66010487783,3.53198350735149,1448.19208838518,0.0852341954634994
"Sep 1990",1447.58956666667,1444.65656371468,2.9503516378978,1447.60691535258,-0.017348685908928
"Okt 1990",1447.03309677419,1444.65302255153,2.25966316513653,1446.91268571666,0.120411057531555
"Nov 1990",1441.96516666667,1444.64694311485,-0.257183483177328,1444.38975963167,-2.42459296500715
"Dez 1990",1440.28858064516,1444.64086367818,-3.61681884835873,1441.02404482982,-0.735464184656848
"Jan 1991",1440.23919354839,1444.6347842415,-4.31097114803057,1440.32381309347,-0.0846195450847063
