"year_month","observed","trend","seasonal","deterministic","stochastic"
Mar 1990,-10.5,-7.48578184584432,-5.1463506372501,-12.6321324830944,2.13213248309442
Apr 1990,-11.8,-7.4817999094138,-3.38636676623548,-10.8681666756493,-0.931833324350723
May 1990,-4.7,-7.47781797298328,1.43205406215094,-6.04576391083233,1.34576391083233
Jun 1990,-2.9,-7.47383603655274,4.29108391637259,-3.18275212018015,0.282752120180148
Jul 1990,0.1,-7.46985410012222,7.15304614225398,-0.316807957868244,0.416807957868244
Aug 1990,0.4,-7.4658721636917,7.25167906260989,-0.214193101081811,0.614193101081811
Sep 1990,-3.9,-7.46189022726117,4.72893747412594,-2.73295275313523,-1.16704724686477
Oct 1990,-4.2,-7.45790829083064,2.14784383131071,-5.31006445951993,1.11006445951993
Nov 1990,-11.7,-7.45392635440012,-2.41153161366799,-9.86545796806811,-1.83454203193189
Dec 1990,-13.8,-7.44994441796959,-4.3577289372072,-11.8076733551768,-1.99232664482321
Jan 1991,-10.9,-7.44596248153907,-5.59206846161476,-13.0380309431538,2.13803094315383
Feb 1991,-15.4,-7.44198054510855,-6.16890436944067,-13.6108849145492,-1.78911508545078
Mar 1991,-9,-7.43799860867801,-5.13538790673159,-12.5733865154096,3.5733865154096
Apr 1991,-12.1,-7.43401667224749,-3.36719867065526,-10.8012153429028,-1.29878465709725
May 1991,-9.2,-7.43003473581697,1.49299081943996,-5.93704391637701,-3.26295608362299
Jun 1991,-3.5,-7.42605279938644,4.34463732506036,-3.08141547432607,-0.418584525673926
Jul 1991,1.4,-7.42207086295591,7.13959338833601,-0.2824774746199,1.6824774746199
Aug 1991,1.7,-7.41808892652539,7.26705694415977,-0.151031982365622,1.85103198236562
Sep 1991,-0.9,-7.41410699009486,4.66320919660437,-2.75089779349049,1.8508977934905
Oct 1991,-6.4,-7.41012505366434,2.12918648987243,-5.28093856379191,-1.11906143620809
Nov 1991,-10,-7.40614311723382,-2.46774773824782,-9.87389085548164,-0.12610914451836
Dec 1991,-11.1,-7.40216118080328,-4.39085137593519,-11.7930125567385,0.693012556738475
