"date","observed","trend","seasonal","remainder"
1940.75,-6.8,-8.38894657273969,1.63155608615378,-0.0426095134140922
1940.83333333333,-10.5,-8.38598091146224,-2.35749558081758,0.243476492279822
1940.91666666667,-16.4,-8.3830152501848,-5.33656274398999,-2.6804220058252
1941,-15.6,-8.38004958890736,-6.57475677944241,-0.645193631650226
1941.08333333333,-14.9,-8.37708392762992,-6.48806583439943,-0.0348502379706535
1941.16666666667,-12.4,-8.37411826635248,-4.64428653312473,0.618404799477208
1941.25,-11.2,-8.37115260507503,-2.17485671276579,-0.653990682159181
1941.33333333333,-9.7,-8.36818694379759,1.47308386459211,-2.80489692079452
1941.41666666667,-3,-8.36522128252015,4.96604518419573,0.39917609832442
1941.5,-0.8,-8.3622556212427,7.10723840480256,0.455017216440144
1941.58333333333,-2.6,-8.35928995996526,7.0201586739217,-1.26086871395643
1941.66666666667,-2.8,-8.35632429868782,5.36624674120506,0.190077557482759
1941.75,-9.8,-8.35062426020076,1.63870763826781,-3.08808337806705
1941.83333333333,-10.7,-8.34492422171369,-2.35052002511058,-0.00455575317572965
1941.91666666667,-13.7,-8.33922418322663,-5.32622478427929,-0.0345510324940825
1942,-18.4,-8.33352414473956,-6.56931855665282,-3.49715729860761
1942.08333333333,-17.7,-8.3278241062525,-6.50234828850686,-2.86982760524064
1942.16666666667,-10.2,-8.32212406776544,-4.64044901383424,2.76257308159968
1942.25,-9.9,-8.31642402927837,-2.18036875728315,0.596792786561521
1942.33333333333,-6.6,-8.31072399079131,1.47104943311761,0.2396745576737
1942.41666666667,-2.3,-8.30502395230425,4.96329442178513,1.04172953051912
1942.5,-1.3,-8.29932391381718,7.09829830470356,-0.0989743908863812
1942.58333333333,-0.7,-8.29362387533012,7.01266502392046,0.580958851409661
1942.66666666667,-1.6,-8.28792383684306,5.36575200371734,1.32217183312572
1942.75,-4.4,-8.28222379835599,1.64962864245483,2.23259515590116
1942.83333333333,-11.4,-8.2679805259659,-2.33877851795707,-0.793240956077033
1942.91666666667,-11.2,-8.2537372535758,-5.31422887767476,2.36796613125056
1943,-13.7,-8.2394939811857,-6.56414332145125,1.10363730263694
1943.08333333333,-13.9,-8.2252507087956,-6.51690979859091,0.84216050738651
1943.16666666667,-11.1,-8.2110074364055,-4.63690661890898,1.74791405531448
1943.25,-9.2,-8.1967641640154,-2.18616599094988,1.18293015496528
1943.33333333333,-5,-8.1825208916253,1.4687397477096,1.71378114391571
1943.41666666667,-4.4,-8.16827761923521,4.96029727200849,-1.19201965277329
1943.5,-1.4,-8.15403434684511,7.08914068380602,-0.335106336960912
1943.58333333333,0.3,-8.13979107445501,7.00499284032052,1.43479823413449
1943.66666666667,-1.7,-8.12554780206491,5.36511771983076,1.06043008223415
1943.75,-4.7,-8.11130452967481,1.66044661242784,1.75085791724698
1943.83333333333,-13,-8.09706125728471,-2.32710353283276,-2.57583520988252
1943.91666666667,-12.7,-8.07829398576726,-5.30227590705316,0.68056989282042
1944,-11.4,-8.05952671424981,-6.55898743618632,3.21851415043612
1944.08333333333,-18.4,-8.04075944273236,-6.53148217624799,-3.82775838101965
1944.16666666667,-17,-8.0219921712149,-4.63336660919313,-4.34464121959197
1944.25,-8.9,-8.00322489969745,-2.19196444052194,1.29518934021939
1944.33333333333,-6.3,-7.98445762818,1.46643001570035,0.218027612479654
1944.41666666667,-4.1,-7.96569035666255,4.95730009893124,-1.09160974226869
1944.5,-1.8,-7.94692308514509,7.07998306290848,-0.933059977763385
1944.58333333333,1.7,-7.92815581362764,6.99732138893005,2.63083442469759
1944.66666666667,-3.3,-7.90938854211019,5.36448490036311,-0.755096358252922
1944.75,-9,-7.89062127059273,1.67127649620634,-2.78065522561361
1944.83333333333,-12.3,-7.87185399907528,-2.31540618451637,-2.11273981640835
1944.91666666667,-14.8,-7.85308672755783,-5.29026644592945,-1.65664682651272
1945,-19.7,-7.83736843535942,-6.55374093310927,-5.30889063153131
1945.08333333333,-10.4,-7.82165014316102,-6.54590620414083,3.96755634730185
1945.16666666667,-11.6,-7.80593185096261,-4.62962051776092,0.835552368723532
1945.25,-8.9,-7.79021355876421,-2.1974735492357,1.08768710799991
1945.33333333333,-5.3,-7.7744952665658,1.46449288369133,1.01000238287448
1945.41666666667,-1.8,-7.7587769743674,4.95477726478844,1.00399970957896
1945.5,0.3,-7.743058682169,7.0714015198796,0.971657162289395
1945.58333333333,-2.3,-7.72734038997059,6.99032057406174,-1.56298018409115
1945.66666666667,-2.8,-7.71162209777218,5.36461727607113,-0.452995178298946
1945.75,-5.9,-7.69590380557378,1.68292137394736,0.112982431626415
1945.83333333333,-11,-7.68018551337537,-2.30284404345062,-1.016970443174
1945.91666666667,-14.1,-7.66446722117697,-5.27743303122548,-1.15809974759755
1946,-14.2,-7.64874892897856,-6.55264601763837,0.00139494661693629
1946.08333333333,-14.4,-7.63750667510865,-6.5806281954892,-0.181865129402154
1946.16666666667,-10.8,-7.62626442123873,-4.6157334935587,1.44199791479742
1946.25,-7.1,-7.61502216736881,-2.19322018359263,2.70824235096144
1946.33333333333,-5.7,-7.60377991349889,1.46508713997953,0.438692773519357
1946.41666666667,-3.9,-7.59253765962897,4.94260810176383,-1.25007044213485
1946.5,0.3,-7.58129540575905,7.05485382436376,0.826441581395296
1946.58333333333,-1.1,-7.57005315188913,6.97841868751227,-0.508365535623139
1946.66666666667,-1.2,-7.55881089801922,5.36816661866014,0.990644279359071
1946.75,-6.9,-7.5475686441493,1.71018588137376,-1.06261723722446
1946.83333333333,-10.1,-7.53632639027938,-2.29088882058544,-0.272784789135179
1946.91666666667,-15.8,-7.52508413640946,-5.25614945504634,-3.0187664085442
1947,-16.4,-7.51384188253954,-6.55279339659762,-2.33336472086284
1947.08333333333,-15.7,-7.50259962866962,-6.61654358739226,-1.58085678393812
1947.16666666667,-11.4,-7.49547747586903,-4.6029909760357,0.698468451904735
1947.25,-7.4,-7.48835532306844,-2.19000030215137,2.27835562521981
1947.33333333333,-4,-7.48123317026785,1.46475893454336,2.01647423572449
1947.41666666667,-1.4,-7.47411101746726,4.92965296346873,1.14445805399853
1947.5,1,-7.46698886466667,7.03765664003133,1.42933222463534
1947.58333333333,0.5,-7.45986671186608,6.96599832293291,0.993868388933167
1947.66666666667,-1.9,-7.45274455906549,5.37132849400595,0.18141606505954
1947.75,-4.3,-7.4456224062649,1.73716860683121,1.40845379943369
1947.83333333333,-10,-7.43850025346431,-2.27910969441495,-0.282390052120747
1947.91666666667,-15.4,-7.43137810066371,-5.23497957239669,-2.7336423269396
1948,-13.1,-7.42425594786312,-6.55299206592114,0.877248013784269
1948.08333333333,-15.3,-7.41713379506253,-6.65248835676413,-1.23037784817334
1948.16666666667,-7.8,-7.41001164226194,-4.59025592308606,4.20026756534801
1948.25,-9,-7.41155876045615,-2.18678427309408,0.598343033550225
1948.33333333333,-5.1,-7.41310587865036,1.4644304889126,0.848675389737755
1948.41666666667,-4.5,-7.41465299684456,4.91669770507634,-2.00204470823178
1948.5,-3.4,-7.41620011503877,7.0204594556989,-3.00425934066012
1948.58333333333,-1.2,-7.41774723323298,6.95357779066616,-0.735830557433187
1948.66666666667,-1.5,-7.41929435142718,5.37449003397699,0.544804317450199
1948.75,-4.1,-7.42084146962139,1.76414928828781,1.55669218133358
1948.83333333333,-6.5,-7.4223885878156,-2.26733432087138,3.18972290868698
1948.91666666667,-10.8,-7.4239357060098,-5.21381011876633,1.83774582477613
1949,-12.3,-7.42548282420401,-6.55318784065633,1.67867066486034
1949.08333333333,-11.5,-7.42702994239822,-6.68840056771998,2.61543051011819
1949.16666666667,-15.4,-7.42857706059243,-4.57745864789271,-3.39396429151486
1949.25,-7.5,-7.43012417878663,-2.18343850651319,2.11356268529983
1949.33333333333,-6.8,-7.43779718333505,1.46429929608531,-0.826502112750261
